Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
225,Quenton Jackson,27,IND,PG,10,5,17.7,2.6,5.6,.464,0.8,2.1,.381,1.8,3.5,.514,.536,2.3,3.3,.697,0.6,2.1,2.7,2.2,0.7,0.1,1.3,1.6,8.3,,jacksqu01
226,Terance Mann,29,BRK,SG,26,26,26.4,3.0,6.7,.448,1.0,2.8,.342,2.0,3.9,.525,.520,1.3,1.5,.850,1.4,2.1,3.5,3.7,0.7,0.2,1.1,2.7,8.3,,mannte01
227,Ryan Nembhard,22,DAL,PG,18,12,21.5,3.6,7.3,.485,1.1,2.6,.413,2.5,4.8,.523,.557,0.1,0.2,.667,0.3,1.6,1.8,5.6,0.3,0.0,1.7,1.7,8.3,,nembhry01
228,Bradley Beal,32,LAC,SG,6,6,20.2,3.0,8.0,.375,1.2,3.2,.368,1.8,4.8,.379,.448,1.0,1.3,.750,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,8.2,,bealbr01
229,Isaiah Collier,21,UTA,PG,21,1,22.3,2.8,5.7,.483,0.4,1.1,.348,2.4,4.6,.515,.517,2.3,3.2,.706,0.2,1.9,2.1,6.3,0.6,0.3,2.2,2.2,8.2,,colliis01
230,Kentavious Caldwell-Pope,32,MEM,SG,30,13,22.1,2.7,6.8,.392,1.3,3.5,.358,1.4,3.3,.429,.485,1.5,1.7,.920,0.4,2.0,2.4,3.4,0.8,0.2,1.4,1.0,8.1,,caldwke01
231,Draymond Green,35,GSW,PF,24,24,27.0,3.0,7.3,.409,1.4,4.3,.327,1.6,3.0,.528,.506,0.7,1.1,.615,0.8,5.3,6.1,5.1,0.9,0.9,3.1,3.3,8.1,,greendr01
232,Luke Kornet,30,SAS,C,21,16,25.0,3.0,4.7,.646,0.0,0.0,,3.0,4.7,.646,.646,2.0,2.4,.843,3.1,3.5,6.6,2.0,0.4,1.4,0.6,2.0,8.1,,kornelu01
233,Bryce McGowens,23,NOP,SG,19,6,17.9,2.7,5.2,.515,0.8,1.7,.500,1.8,3.5,.522,.596,1.8,2.4,.778,0.4,1.9,2.3,1.5,0.6,0.2,0.3,1.5,8.1,,mcgowbr01
234,Will Richard,23,GSW,SG,25,12,18.9,2.8,5.2,.542,1.3,3.2,.418,1.5,2.1,.731,.668,1.1,1.4,.800,1.0,1.7,2.7,1.0,0.9,0.0,0.7,2.1,8.1,,richawi02
235,Aaron Holiday,29,HOU,PG,21,0,16.0,2.5,5.7,.442,1.7,3.9,.439,0.8,1.8,.447,.592,1.2,1.4,.862,0.1,0.9,1.0,1.0,0.4,0.1,1.0,1.5,8.0,,holidaa01
236,Jaden Ivey,23,DET,SG,15,0,15.0,2.9,6.3,.463,1.1,3.0,.356,1.9,3.3,.560,.547,1.1,1.2,.889,0.5,1.7,2.2,1.6,0.7,0.3,0.9,1.8,8.0,,iveyja01
237,Moussa Diabaté,24,CHO,C,29,3,22.4,3.0,4.9,.624,0.0,0.0,,3.0,4.9,.624,.624,1.9,2.8,.675,3.6,4.3,7.9,1.1,0.8,0.9,0.8,2.5,7.9,,diabamo01
238,Jay Huff,27,IND,C,30,14,19.6,2.7,6.6,.414,1.4,4.6,.297,1.4,2.0,.683,.518,1.1,1.3,.825,1.1,3.0,4.1,1.3,0.3,2.4,0.8,2.3,7.9,,huffja01
239,Caleb Love,24,POR,SG,22,0,17.8,3.0,8.6,.344,1.3,5.0,.261,1.6,3.5,.462,.421,0.7,0.9,.789,0.6,1.8,2.4,2.0,0.4,0.1,0.8,1.3,7.9,,loveca01
240,Tyrese Martin,26,BRK,SG,27,6,20.1,2.9,7.5,.391,1.4,4.3,.325,1.5,3.1,.482,.485,0.6,0.9,.708,1.0,2.1,3.1,2.4,0.7,0.1,1.1,1.0,7.9,,martity01
241,Cason Wallace,22,OKC,SG,29,26,27.7,3.0,7.1,.420,1.4,4.0,.350,1.6,3.1,.511,.519,0.5,0.6,.824,0.7,2.2,2.9,2.2,2.3,0.2,0.9,2.1,7.9,,wallaca01
